Target,Year,Uniprot,ProteinName,Resolution,pIC50,Unit,Molecule ID
7gch,1990,P00766,GAMMA CHYMOTRYPSIN A,1.80,5.7,Ki=2uM,LPF
6gch,1990,P00766,GAMMA CHYMOTRYPSIN A,2.10,4.7,Ki=20uM,APF
5hvp,1991,Q9WFL7,HIV-1 PROTEASE,2.00,7.7,Ki=20nM,6-mer
4sga,1991,P00776,PROTEINASE A (SGPA),1.80,7.3,Ki=50nM,5-mer
2er9,1991,P11838,ENDOTHIAPEPSIN,2.20,7.4,Ki=40nM,8-mer
5apr,1991,P06026,RHIZOPUSPEPSIN,2.10,7.77,Ki=17nM,9-mer
2ypi,1991,P00942,TRIOSEPHOSPHATE ISOMERASE,2.50,4.82,Ki=15uM,PGA
5er2,1991,P11838,ENDOTHIAPEPSIN,1.80,6.57,Ki=0.27uM,0EK
1rbp,1991,P02753,RETINOL-BINDING PROTEIN 4,2.00,6.72,Kd=0.19uM,RTL
7abp,1991,P02924,L-ARABINOSE-BINDING PROTEIN,1.67,6.46,Kd=0.35uM,FCA/FCB
6apr,1991,P06026,RHIZOPUSPEPSIN,2.50,7.77,Ki<=17nM,6-mer
6cpa,1991,P00730,CARBOXYPEPTIDASE A,2.00,11.52,Ki=3pM,ZAF
3er5,1991,P11838,ENDOTHIAPEPSIN,1.80,9.0,Ki=1nM,10-mer
2er0,1991,P11838,ENDOTHIAPEPSIN,3.00,6.38,Ki=420nM,8-mer
4er2,1991,P11838,ENDOTHIAPEPSIN,2.00,9.3,Ki=0.5nM,6-mer
1fkf,1991,P62942,FK506-BINDING PROTEIN (FKBP),1.70,9.4,Kd=0.4nM,FK5
2er6,1991,P11838,ENDOTHIAPEPSIN,2.00,7.22,Ki=60nM,7-mer
8abp,1991,P02924,L-ARABINOSE-BINDING PROTEIN,1.49,8.0,Kd=0.010uM,GLA/GLB
9icd,1991,P08200,ISOCITRATE DEHYDROGENASE,2.50,3.9,Kd=125uM,NAP
4apr,1991,P06026,RHIZOPUSPEPSIN,2.50,6.7,Ki=200nM,8-mer
4er4,1991,P11838,ENDOTHIAPEPSIN,2.10,6.8,Ki=160nM,10-mer
6abp,1991,P02924,L-ARABINOSE-BINDING PROTEIN,1.67,6.36,Kd=0.44uM,ARA/ARB
3er3,1991,P11838,ENDOTHIAPEPSIN,2.00,7.09,Ki=81nM,0EL
4er1,1991,P11838,ENDOTHIAPEPSIN,2.00,6.62,Ki=0.242uM,0ZP
5er1,1991,P11838,ENDOTHIAPEPSIN,2.00,6.02,Ki=960nM,0HT
1bap,1992,P02924,L-ARABINOSE-BINDING PROTEIN,1.75,6.85,Kd=0.14uM,ARA/ARB
7gpb,1992,P00489,GLYCOGEN PHOSPHORYLASE B,2.90,5.52,Kd=3uM,AMP
1apb,1992,P02924,L-ARABINOSE-BINDING PROTEIN,1.76,5.82,Kd=1.51uM,FCA/FCB
5est,1992,P00772,ELASTASE,2.09,6.52,Ki=0.3uM,0P2
1stp,1992,P22629,STREPTAVIDIN,2.60,13.4,Kd=40fM,BTN
9hvp,1992,P12497,HIV-1 PROTEASE,2.80,8.35,Ki=4.5nM,0E9
9abp,1992,P02924,L-ARABINOSE-BINDING PROTEIN,1.97,8.0,Kd=0.01uM,GLA/GLB
6gpb,1992,P00489,GLYCOGEN PHOSPHORYLASE B,2.86,4.85,Ki=14uM,H2P
8gpb,1992,P00489,GLYCOGEN PHOSPHORYLASE B,2.20,3.6,Kd=0.25mM,AMP
4tim,1992,P04789,TRIOSEPHOSPHATE ISOMERASE,2.40,2.16,Ki=6.9mM,2PG
6tim,1992,P04789,TRIOSEPHOSPHATE ISOMERASE,2.20,3.21,Ki=0.61mM,G3P
4est,1992,P00772,ELASTASE,1.78,5.02,Ki=9.5uM,5-mer
5abp,1992,P02924,L-ARABINOSE-BINDING PROTEIN,1.80,6.64,Kd=0.23uM,GLA/GLB
8lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.25,6.62,Ki=240nM,5-mer
5lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.13,6.57,Ki=270nM,5-mer
1pop,1993,P00784,PAPAIN,2.10,9.0,Kd=1nM,4-mer
1bcd,1993,P00918,CARBONIC ANHYDRASE 2,1.90,8.7,Ki=2nM,FMS
1rin,1993,P02867,PEA LECTIN,2.60,3.15,Kd=0.7mM,MAN
7lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.05,7.18,Ki=66nM,5-mer
1igj,1993,1igj,ANTIBODY FAB FRAGMENT,2.50,10.0,Kd=0.1nM,DGX
2lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.25,8.89,Ki=1.3nM,5-mer
1atr,1993,P19120,HEAT-SHOCK COGNATE 70 KDA PROTEIN,2.34,6.96,Kd=110nM,ADP
1trd,1993,P04789,TRIOSEPHOSPHATE ISOMERASE,2.50,5.4,Ki=4uM,PGH
1gca,1993,P23905,GLUCOSE/GALACTOSE-BINDING PROTEIN,1.70,6.7,Kd=0.2uM,GAL
6rnt,1993,P00651,RIBONUCLEASE T1,1.80,2.37,Kd=4.3mM,2AM
1rgk,1993,P00651,RIBONUCLEASE T1,1.87,4.31,Kd=49.1uM,2AM
1rgl,1993,P00651,RIBONUCLEASE T1,2.00,4.43,Kd=37uM,2GP
1pip,1993,P00784,PAPAIN,1.70,5.0,Ki<10uM,7-mer
1rne,1993,P00797,RENIN,2.40,8.7,IC50=2nM,C60
1gpy,1993,P00489,GLYCOGEN PHOSPHORYLASE B,2.40,4.7,Kd=20uM,G6P
6lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.10,7.3,Ki=50nM,5-mer
1fkb,1993,P62942,FK506-BINDING PROTEIN (FKBP),1.70,9.7,Kd=0.2nM,RAP
9lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.20,5.7,Ki=2000nM,5-mer
1hiv,1993,P04585,HIV-1 PROTEASE,2.00,9.0,Ki<1.0nM,1ZK
1ppm,1993,P00798,PENICILLOPEPSIN,1.70,5.8,Ki=1600nM,0P1
1hos,1993,P03366,HIV-1 PROTEASE,2.30,8.55,Ki=2.8nM,PHP
1dmb,1993,P02928,MALTODEXTRIN-BINDING PROTEIN,1.80,5.74,Kd=1.80uM,BCD
4phv,1993,P12497,HIV-1 PROTEASE,2.10,9.17,IC50=0.67nM,VAC
8hvp,1993,P03369,HIV-1 PROTEASE,2.50,9.0,Ki<1nM,7-mer
1cps,1993,P00730,CARBOXYPEPTIDASE A,2.25,6.66,Ki=0.22uM,CPM
7hvp,1993,P03369,HIV-1 PROTEASE,2.40,9.62,Ki=0.24nM,6-mer
1ind,1993,1ind,IGG1-LAMBDA CHA255 FAB (LIGHT CHAIN),2.20,10.05,Kd=0.09nM,EOT
1mns,1993,P11444,MANDELATE RACEMASE,2.00,4.17,Ki=67uM,APG
2avi,1993,P02701,AVIDIN,3.00,15.22,Kd=0.6fM,BTN
1ppl,1993,P00798,PENICILLOPEPSIN,1.70,8.55,Ki=2.8nM,1Z7
2gst,1993,P04905,GLUTATHIONE S-TRANSFERASE (ISOENZYME 3-3),1.80,6.07,Ki=0.85uM,GPS
3lpr,1993,P00778,ALPHA-LYTIC PROTEASE,2.15,5.96,Ki=1100nM,5-mer
3gst,1993,P04905,GLUTATHIONE S-TRANSFERASE (ISOENZYME 3-3),1.90,6.72,Ki=0.19uM,GPR
1dbb,1993,P01868,IGG1-KAPPA DB3 FAB (LIGHT CHAIN),2.70,9.0,Kd=1nM,STR
2mip,1993,P04584,HIV-2 PROTEASE,2.20,8.46,IC50<=3.5nM,7-mer
1ivp,1993,P04584,HIV-2 PROTEASE,2.50,7.52,Ki=30nM,1ZK
1abf,1993,P02924,L-ARABINOSE-BINDING PROTEIN,1.90,5.42,Kd=3.8uM,FCA/FCB
1l83,1993,P00720,T4 LYSOZYME,1.70,3.4,Kd=0.40mM,BNZ
1apw,1994,P00798,PENICILLOPEPSIN,1.80,8.0,Ki=10nM,5-mer
1apv,1994,P00798,PENICILLOPEPSIN,1.80,9.0,Ki=1nM,5-mer
1him,1994,I6SHA6,IGG2A-KAPPA 17/9 FAB (HEAVY CHAIN),2.90,7.7,IC50=20nM,10-mer
1erb,1994,P18902,RETINOL BINDING PROTEIN,1.90,8.1,Kd=8nM,ETR
1tsi,1994,P04789,TRIOSEPHOSPHATE ISOMERASE,2.84,3.48,Ki=0.33mM,4PB
1cil,1994,P00918,CARBONIC ANHYDRASE 2,1.60,9.43,Ki=0.37nM,ETS
1rpf,1994,P61823,RIBONUCLEASE A,2.20,3.99,Ki=103uM,C3P
1wht,1994,P08819,SERINE CARBOXYPEPTIDASE II,2.00,3.7,Ki=0.2mM,BZS
1dwd,1994,P00734,THROMBIN ALPHA,3.00,8.18,Ki=6.6nM,MID
1dbj,1994,P01868,IGG1-KAPPA DB3 FAB (LIGHT CHAIN),2.70,7.68,IC50=21nM,AE2
1dbk,1994,P01868,IGG1-KAPPA DB3 FAB (LIGHT CHAIN),3.00,8.1,IC50=8nM,ANO
1iht,1994,P00734,THROMBIN ALPHA,2.10,8.46,Ki=3.5nM,14-mer
2dbl,1994,P01868,IGG1-KAPPA DB3 FAB (LIGHT CHAIN),2.90,8.7,IC50=2nM,S5H
1mfa,1994,1mfa,ANTIBODY FV FRAGMENT,1.70,5.04,Kd=9.1uM,3-mer
1ppk,1994,P00798,PENICILLOPEPSIN,1.80,7.66,Ki=22nM,IVV
1ths,1994,P00734,THROMBIN ALPHA (SMALL SUBUNIT),2.20,7.54,IC50=0.029uM,11-mer
1cbx,1994,P00730,CARBOXYPEPTIDASE A,2.00,6.35,Ki=0.45uM,BZS
1acj,1994,P04058,ACETYLCHOLINESTERASE,2.80,8.09,IC50=8.2nM,THA
1srg,1994,P22629,STREPTAVIDIN,1.80,5.3,Kd=5uM,MHB
1abt,1994,P60615,ALPHA-BUNGAROTOXIN,NMR,5.85,Kd=1.4uM,12-mer
1sre,1994,P22629,STREPTAVIDIN,1.78,3.85,Kd=0.14mM,HAB
2cht,1994,P19080,CHORISMATE MUTASE,2.20,5.52,Ki=3uM,BAR
1cin,1994,P00918,CARBONIC ANHYDRASE 2,2.10,8.73,Ki=1.88nM,MTS
1ctr,1994,P62158,CALMODULIN,2.45,6.0,Kd=1uM,TFP
1avd,1994,P02701,AVIDIN,2.70,15.0,Kd=1fM,BTN
1sri,1994,P22629,STREPTAVIDIN,1.65,6.08,Kd=0.83uM,DMB
1thr,1994,P00734,THROMBIN,2.30,5.38,IC50=4.2uM,13-mer
1siv,1994,Q07387,SIV PROTEASE,2.50,8.08,Ki=8.4nM,PSI
1hgj,1994,P03437,"HEMAGGLUTININ, CHAIN HA1",2.70,1.66,Kd=22mM,AMN
1hge,1994,P03437,"HEMAGGLUTININ, CHAIN HA1",2.60,2.27,Kd=5.4mM,MNA
1hgi,1994,P03437,"HEMAGGLUTININ, CHAIN HA1",2.70,2.68,Kd=2.1mM,ANA
1bra,1994,P00763,TRYPSIN BETA,2.20,1.82,Ki=15000uM,BEN
2drc,1994,P0ABQ4,DIHYDROFOLATE REDUCTASE,1.90,9.89,Kd=0.13nM,MTX
1tmb,1994,P00734,THROMBIN ALPHA (SMALL SUBUNIT),2.30,6.74,Ki=0.18uM,5-mer
7cpa,1994,P00730,CARBOXYPEPTIDASE A,2.00,13.96,Ki=11fM,FVF
1hgt,1994,P00734,THROMBIN ALPHA (SMALL SUBUNIT),2.20,6.82,Ki=150nM,12-mer
8cpa,1994,P00730,CARBOXYPEPTIDASE A,2.00,9.15,Ki=710pM,AGF
1cim,1994,P00918,CARBONIC ANHYDRASE 2,2.10,8.82,Ki=1.52nM,PTS
1dhi,1994,P0ABQ4,DIHYDROFOLATE REDUCTASE,1.90,7.26,Kd=55nM,MTX
1dhj,1994,P0ABQ4,DIHYDROFOLATE REDUCTASE,1.80,6.55,Kd=281nM,MTX
1dwc,1994,P00734,THROMBIN ALPHA (SMALL SUBUNIT),3.00,7.41,Ki=39nM,MIT
1nnb,1994,P03472,NEURAMINIDASE,2.80,5.0,Ki=10uM,DAN
2ctc,1994,P00730,CARBOXYPEPTIDASE A,1.40,3.89,Ki=0.13mM,HFA
1adl,1994,P04117,ADIPOCYTE LIPID-BINDING PROTEIN,1.60,5.36,Kd=4.4uM,ACD
2hmb,1994,P05413,FATTY ACID-BINDING PROTEIN,2.10,5.59,IC50=2.6uM,PLM
1fig,1994,1fig,IGG1-KAPPA 1F7 FAB (LIGHT CHAIN),3.00,6.22,Ki=0.6uM,TSA
1els,1994,P00924,ENOLASE,2.40,10.82,Ki=15pM,PAH
1hvj,1994,P04587,HIV-1 PROTEASE,2.00,11.4,Ki=4pM,A78
1ela,1994,P00772,ELASTASE,2.00,6.36,Ki=0.44uM,0Z1
1elc,1994,P00772,ELASTASE,1.75,6.66,Ki=0.22uM,0Z3
1tni,1994,P00760,TRYPSIN,1.90,4.0,Ki=0.10mM,PBN
1tnh,1994,P00760,TRYPSIN,1.80,3.37,Ki=0.43mM,FBA
1fki,1994,P62942,FK506-BINDING PROTEIN (FKBP),2.20,7.0,Ki=100nM,SB1
1tng,1994,P00760,TRYPSIN,1.80,2.93,Ki=1.17mM,AMC
1fkg,1994,P62942,FK506-BINDING PROTEIN (FKBP),2.00,8.0,Ki=10nM,SB3
1elb,1994,P00772,ELASTASE,2.10,7.15,Ki=70nM,0Z4
1fkh,1994,P62942,FK506-BINDING PROTEIN (FKBP),1.95,8.15,Ki=7nM,SBX
1azm,1994,P00915,CARBONIC ANHYDRASE 1,2.00,6.1,Ki=0.8uM,AZM
1ett,1994,P00735,THROMBIN EPSILON,2.50,5.89,Ki=1.3uM,4QQ
1ent,1994,P11838,ENDOTHIAPEPSIN,1.90,6.96,Ki=110nM,0EM
1epp,1994,P11838,ENDOTHIAPEPSIN,1.90,7.16,Ki=69nM,1Z1
1ets,1994,P00735,EPSILON THROMBIN,2.30,8.22,Ki=6nM,MID
1hvk,1994,P03366,HIV-1 PROTEASE,1.80,10.96,Ki=11pM,A79
1rpa,1994,P20646,PROSTATIC ACID PHOSPHATASE,3.00,6.0,Ki=1.0uM,TAR
1tkb,1994,P23254,TRANSKETOLASE,2.30,8.0,Ki=10nM,N1T
1tka,1994,P23254,TRANSKETOLASE,2.70,6.1,Kd=0.8uM,N3T
1ppc,1994,P00760,TRYPSIN,1.80,6.16,Ki=0.69uM,MID
1sbg,1994,P03366,HIV-1 PROTEASE,2.30,7.74,Ki=18nM,IM1
1heg,1994,P03366,HIV-1 PROTEASE,2.20,7.74,Ki=18nM,PSI
1htf,1994,P03366,HIV-1 PROTEASE,2.20,6.83,IC50=148nM,G26
1aaq,1994,Q8Q3J5,HIV-1 PROTEASE,2.50,8.4,Ki=4.0nM,PSI
1htg,1994,P03366,HIV-1 PROTEASE,2.00,8.42,IC50=3.8nM,G37
1hte,1994,P03366,HIV-1 PROTEASE,2.80,5.64,IC50=2265nM,G23
1thl,1994,P00800,THERMOLYSIN,1.70,6.42,Ki=0.38uM,0DB
1hef,1994,P03366,HIV-1 PROTEASE,2.20,9.0,Ki=1nM,5-mer
1hps,1994,P03366,HIV-1 PROTEASE,2.30,9.22,Ki=0.6nM,RUN
1pph,1994,P00760,TRYPSIN,1.90,5.92,Ki=1.2uM,0ZG
1add,1994,P03958,ADENOSINE DEAMINASE,2.40,6.74,Ki=0.18uM,1DA
1hvl,1994,P03367,HIV-1 PROTEASE,1.80,9.95,Ki=112pM,A76
1tkc,1994,P23254,TRANSKETOLASE,2.70,4.85,Kd=14uM,M6T
1lyb,1994,P07339,CATHEPSIN D,2.50,11.42,Ki=3.8pM,6-mer
1hvi,1994,P03368,HIV-1 PROTEASE,1.80,10.92,Ki=12pM,A77
1tys,1994,P00470,THYMIDYLATE SYNTHASE,1.80,5.49,Kd=3.27uM,TMP
1eed,1994,P11838,ENDOTHIAPEPSIN,2.00,4.79,Ki=16.2uM,0EO
1mfd,1994,1mfd,ANTIBODY FAB FRAGMENT,2.10,5.31,Kd=4.9uM,3-mer
1pyg,1994,P00489,GLYCOGEN PHOSPHORYLASE B,2.87,5.52,Kd=3uM,AMP
1csh,1994,P23007,CITRATE SYNTHASE,1.65,7.55,Ki=28nM,AMX
1csi,1994,P23007,CITRATE SYNTHASE,1.70,8.8,Ki=1.6nM,CMX
1sps,1994,P00524,C-SRC TYROSINE KINASE SH2 DOMAIN,2.70,8.52,Kd=3nM,11-mer
1tet,1994,P32890,IGG1 TE33 FAB (LIGHT CHAIN),2.30,6.08,Ki=0.83uM,15-mer
1lst,1994,P02911,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",1.80,7.85,Kd=14nM,LYS
2sim,1994,P29768,NEURAMINIDASE,1.60,3.42,Ki=0.38mM,DAN
1hsl,1994,P39182,HISTIDINE-BINDING PROTEIN,1.89,7.19,Kd=0.064uM,HIS
1agm,1994,P23176,GLUCOAMYLASE-471,2.30,12.0,Ki=1pM,ACR
1tnk,1994,P00760,TRYPSIN,1.80,1.49,Ki=32.5mM,PRA
1tnl,1994,P00760,TRYPSIN,1.90,1.88,Ki=13.3mM,TPA
2cgr,1994,A2P1G9,ANTIBODY FAB FRAGMENT,2.20,7.28,Kd=53nM,GAS
1gbt,1994,P00760,TRYPSIN BETA,2.00,2.0,Ki=10mM,GBS
1tnj,1994,P00760,TRYPSIN,1.80,1.96,Ki=11.0mM,PEA
1epo,1994,P11838,ENDOTHIAPEPSIN,2.00,7.96,Ki=11nM,2Z3
1inc,1994,P00772,PORCINE PANCREATIC ELASTASE,1.94,9.34,Ki=0.46nM,ICL
1epq,1994,P11838,ENDOTHIAPEPSIN,1.90,8.19,Ki=6.5nM,0QF
1hvr,1995,P04585,HIV-1 PROTEASE,1.80,9.51,Ki=0.31nM,XK2
1tyn,1995,P00760,TRYPSIN BETA,2.00,9.7,Ki=0.2nM,CTA
1fta,1995,P09467,"FRUCTOSE-1,6-BISPHOSPHATASE 1",2.30,6.36,IC50=0.44uM,AMP
1std,1995,P56221,SCYTALONE DEHYDRATASE,2.90,10.33,Ki=47pM,BFS
186l,1995,P00720,T4 LYSOZYME,1.80,4.85,Kd=14uM,N4B
184l,1995,P00720,T4 LYSOZYME,1.80,4.72,Kd=19uM,I4B
185l,1995,P00720,T4 LYSOZYME,1.80,3.54,Kd=290uM,IND
1hpv,1995,P04587,HIV-1 PROTEASE,1.90,9.22,Ki=0.60nM,478
1prm,1995,P00523,C-SRC TYROSINE KINASE SH3 DOMAIN,NMR,4.23,Kd=59uM,9-mer
1tps,1995,P00760,TRYPSIN,1.90,8.0,IC50=10nM,8-mer
1yda,1995,P00918,CARBONIC ANHYDRASE 2,2.10,6.55,Kd=280nM,AZM
1ahy,1995,P00509,ASPARTATE AMINOTRANSFERASE,2.30,3.36,Kd=440uM,MAE
1hti,1995,P60174,TRIOSEPHOSPHATE ISOMERASE,2.80,5.13,Ki=7.4uM,PGA
187l,1995,P00720,T4 LYSOZYME,1.80,3.37,Kd=422uM,PXY
188l,1995,P00720,T4 LYSOZYME,1.80,3.33,Kd=470uM,OXE
1ydd,1995,P00918,CARBONIC ANHYDRASE 2,2.10,7.07,Kd=86nM,AZM
1hbv,1995,P03366,HIV-1 PROTEASE,2.30,6.37,Ki=430nM,GAN
1rlp,1995,P00523,C-SRC TYROSINE KINASE SH3 DOMAIN,NMR,5.1,Kd=8.0uM,9-mer
1csr,1995,P23007,CITRATE SYNTHASE,1.70,7.38,Ki=42nM,FAM
1rlq,1995,P00523,C-SRC TYROSINE KINASE SH3 DOMAIN,NMR,5.1,Kd=8.0uM,9-mer
1hih,1995,P03366,HIV-1 PROTEASE,2.20,8.05,Ki=9nM,C20
1cgl,1995,P03956,COLLAGENASE 1 (MMP-1),2.40,6.87,Ki=0.135uM,0ED
1eas,1995,P00772,PORCINE PANCREATIC ELASTASE,1.80,7.74,Ki=18nM,TFK
1css,1995,P23007,CITRATE SYNTHASE,1.70,6.1,Ki=0.8uM,FCX
1shd,1995,P12931,C-SRC TYROSINE KINASE SH2 DOMAIN,2.00,6.17,IC50=0.67uM,5-mer
1prl,1995,P00523,C-SRC TYROSINE KINASE SH3 DOMAIN,NMR,4.23,Kd=59uM,9-mer
1utr,1995,P17559,UTEROGLOBIN,NMR,8.0,Kd=10nM,PCB
2dri,1995,P02925,D-RIBOSE-BINDING PROTEIN,1.60,6.89,Kd=0.13uM,RIP
1tpw,1995,P00940,TRIOSEPHOSPHATE ISOMERASE,1.90,3.3,Ki=0.5mM,PGH
1hii,1995,P04584,HIV-2 PROTEASE,2.30,7.28,Ki=53nM,C20
1idb,1995,P04584,HIV-2 PROTEASE,2.20,7.96,IC50=11nM,0DO
1ebg,1995,P00924,ENOLASE,2.10,10.82,Ki=15pM,PAH
1ele,1995,P00772,ELASTASE,2.00,6.85,Ki=0.14uM,0QN
1ida,1995,P04584,HIV-2 PROTEASE,1.70,8.7,IC50<=2.0nM,0PO
1drk,1995,P02925,D-RIBOSE-BINDING PROTEIN,2.00,6.82,Kd=0.15uM,RIP
1eld,1995,P00772,ELASTASE,2.00,6.7,Ki=0.20uM,0Z0
1hrn,1995,P00797,RENIN,1.80,8.05,IC50=9nM,03D
1bty,1995,P00760,TRYPSIN BETA,1.50,4.74,Ki=18.4uM,BEN
1lcj,1995,P06239,P56==LCK== TYROSINE KINASE,1.80,9.0,Kd=1nM,11-mer
1hdt,1995,P00734,THROMBIN ALPHA,2.60,7.76,Ki=17.2nM,0E7
1bma,1995,P00772,ELASTASE,1.80,4.59,Ki=26uM,0QH
1ctt,1995,P0ABF6,CYTIDINE DEAMINASE,2.20,4.52,Ki=30uM,DHZ
1fiv,1995,P16088,FIV PROTEASE,2.00,6.59,Ki=260nM,5-mer
1dis,1995,P00381,DIHYDROFOLATE REDUCTASE,NMR,11.0,Ki<0.01nM,BDM
1ctu,1995,P0ABF6,CYTIDINE DEAMINASE,2.30,11.92,Ki=1.2pM,ZEB
1tyr,1995,P02766,TRANSTHYRETIN,1.80,7.0,Kd=0.1uM,REA
1eat,1995,P00772,PORCINE PANCREATIC ELASTASE,2.00,7.82,Ki=15nM,TFI
1flr,1995,P01865,ANTIBODY FAB FRAGMENT 4-4-20,1.85,10.0,Kd=0.1nM,FLU
2srt,1995,P08254,STROMELYSIN-1,NMR,6.64,Ki=0.23uM,INH
1ahx,1995,P00509,ASPARTATE AMINOTRANSFERASE,2.00,3.92,Kd=120uM,HCI
1mnc,1995,P22894,NEUTROPHIL COLLAGENASE,2.10,10.34,IC50=0.046nM,PLH
1hvs,1995,P04587,HIV-1 PROTEASE,2.25,10.3,Ki=50pM,A77
2ada,1995,P03958,ADENOSINE DEAMINASE,2.40,13.0,Ki=0.1pM,HPR
1pdz,1995,P56252,ENOLASE,2.20,3.7,Ki=0.2mM,PGA
1gsf,1995,P08263,GLUTATHIONE S-TRANSFERASE A1-1,2.70,5.0,IC50~10uM,EAA
1drj,1995,P02925,D-RIBOSE-BINDING PROTEIN,2.50,7.4,Kd=0.040uM,RIP
1fpc,1995,P00734,THROMBIN ALPHA,2.30,7.0,Ki=0.1uM,0ZI
1ppi,1995,P00690,ALPHA-AMYLASE,2.20,5.01,Ki=9.7uM,4-mer
1cbr,1995,P62965,CELLULAR RETINOIC ACID BINDING PROTEIN TYPE I,2.90,9.4,Kd=0.4nM,REA
1qca,1995,P00484,TYPE III CHLORAMPHENICOL ACETYLTRANSFERASE,2.20,5.27,Ki=5.4uM,FUA
1lah,1995,P02911,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",2.06,7.52,Kd=30nM,ORN
1ydb,1995,P00918,CARBONIC ANHYDRASE 2,1.90,8.24,Kd=5.8nM,AZM
1pgp,1995,P00349,6-PHOSPHOGLUCONATE DEHYDROGENASE (6-PGDH),2.50,5.7,Kd=2uM,6PG
1ckb,1995,Q64010,C-CRK N-TERMINAL SH3 DOMAIN,1.90,5.28,Kd=5.2uM,10-mer
1hms,1995,P05413,FATTY ACID-BINDING PROTEIN,1.40,6.37,Kd=0.43uM,OLA
1laf,1995,P02911,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",2.06,7.85,Kd=14nM,ARG
1ibg,1995,1ibg,IGG2B-KAPPA 40-50 FAB (LIGHT CHAIN),2.70,8.55,Ki=2.8nM,OBN
1atl,1995,P15167,ATROLYSIN C,1.80,6.28,Ki=0.52uM,SLE-TYR
1cka,1995,Q64010,C-CRK N-TERMINAL SH3 DOMAIN,1.50,5.72,Kd=1.9uM,10-mer
1lan,1995,P00727,LEUCINE AMINOPEPTIDASE,1.90,7.22,Ki=60nM,LEU
1cny,1995,P00918,CARBONIC ANHYDRASE 2,2.30,7.85,Kd=14nM,EG3
1hmr,1995,P05413,FATTY ACID-BINDING PROTEIN,1.40,6.55,Kd=0.28uM,ELA
1lag,1995,P02911,"LYSINE,ARGININE,ORNITHINE-BINDING PROTEIN",2.06,6.3,Kd=500nM,HIS
1hmt,1995,P05413,FATTY ACID-BINDING PROTEIN,1.40,5.79,Kd=1.64uM,STE
1gar,1995,P08179,GLYCINAMIDE RIBONUCLEOTIDE TRANSFORMYLASE,1.96,10.0,Ki=100pM,U89
2gyi,1995,P15587,XYLOSE ISOMERASE,1.60,7.0,Ki<=100nM,HYA
1cnx,1995,P00918,CARBONIC ANHYDRASE 2,1.90,7.37,Kd=43nM,EG2
1cnw,1995,P00918,CARBONIC ANHYDRASE 2,2.00,7.72,Kd=19nM,EG1
1lcp,1995,P00727,LEUCINE AMINOPEPTIDASE,1.65,6.64,Ki=0.23uM,PLU
